项目编号,项目名称,健康度,复杂度,项目状态,当前PM,分类,部门组织,业务部门,产品族,门禁状态,立项状态,建议分级,产品经理,技术负责人,数据批次
P001,RPM 临研睿智 v3.8,G,8,,,临床,现场管理组织（SMO）,现场管理组织,RPM,G3,已立项,S,才诗、、金亥祺、严曙光,,2026-W25
P002,CRC奖金绩效管理,G,6,,,临床,现场管理组织（SMO）,现场管理组织,RPM,G6,已立项,A,才诗,,2026-W25
P003,RPM 管理驾驶舱 v1.0,G,8,,段子琪,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,RPM,G4,已立项,S,叶澍晟、金亥祺,何修强,2026-W25
P004,QuotePro 报价通 v1.1,G,8,,,临床,现场管理组织（SMO）,BD/BDS,SMO报价系统,G3,已立项,S,才诗、金亥祺、甘延澍,,2026-W25
P005,数据对比 v1.0,G,2,资料准备,段子琪,临床,临床研究组织（CRO）,数据管理部、医学监查,ClinData数据分析与可视化平台,G5,已立项,C,景孟博、陈放群,王少威,2026-W25
P006,数据核查 v1.1,G,4,资料准备,段子琪,临床,临床研究组织（CRO）,数据管理部、医学监查,ClinData数据分析与可视化平台,G4,已立项,B,胡洁、陈放群,王少威,2026-W25
P007,数据整合 v1.1,G,5,资料准备,段子琪,临床,临床研究组织（CRO）,数据管理部、医学监查、药物警戒部、临床运营部,ClinData数据分析与可视化平台,G4,,A,胡洁、陈放群,王少威,2026-W25
P008,数据上传 v1.0,G,3,资料准备,段子琪,临床,临床研究组织（CRO）,数据管理部、医学监查、临床运营部,ClinData数据分析与可视化平台,G4,,B,景孟博、陈放群,王少威,2026-W25
P009,数据映射 v1.0,G,3,资料准备,段子琪,临床,临床研究组织（CRO）,药物警戒部,ClinData数据分析与可视化平台,G3,,B,胡洁、陈放群,王少威,2026-W25
P010,数据分析（包含方案偏离）,,,,,临床,临床研究组织（CRO）,数据管理部、医学监查、生物统计部、统计编程部、临床运营部,ClinData数据分析与可视化平台,,,,陈放群,,2026-W25
P011,数据可视化,,,,,临床,临床研究组织（CRO）,医学监查、临床运营部,ClinData数据分析与可视化平台,,,,陈放群,,2026-W25
P012,SR Tracking,G,3,需求论证,段子琪,临床,临床研究组织（CRO）,药物警戒部,SR Tracking,G4,,B,陈放群,孙浏淘,2026-W25
P013,PV Copilot,G,4,,段子琪,临床,临床研究组织（CRO）,药物警戒部,PV,G5,,B,陈放群,孙浏淘,2026-W25
P014,PV Agent ,G,5,需求论证,段子琪,临床,临床研究组织（CRO）,药物警戒部,PV,G3,,A,陈放群,孙浏淘,2026-W25
P015,CS中心调研,G,4,完成立项,段子琪,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,中心信息管理系统/SSU,G4,,B,田剑、金亥祺,揭昊,2026-W25
P016,医学专业搜索和方案辅助生成平台-竞标PPT,G,6,,黄敏敏,临床,临床研究组织（CRO）,医学科学部,ClinAI临研助手（修改）,G5,,A,朱思婕、张颖超,,2026-W25
P017,IND267,G,4,完成立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G5,,B,胡洁,,2026-W25
P018,IND263,G,3,完成立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G5,,B,胡洁,,2026-W25
P019,IND265,G,4,完成立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G5,,B,胡洁,,2026-W25
P020,IND266,G,3,启动立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G3,,B,胡洁,,2026-W25
P021,IND264,G,3,启动立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G3,,B,胡洁,,2026-W25
P022,IND262,G,3,启动立项,黄敏敏,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G3,,B,胡洁,,2026-W25
P024,BA Lims v1.1,G,4,,景孟博,临床,临床生物分析服务,南京小分子分析实验室,BA Lims,G4,,B,陈放群,,2026-W25
P025,法规生成月报,G,4,,,临床,共享服务中心（SSC）,注册法规部,法规生成月报（修改）,G3,,B,张颖超；陈放群,,2026-W25
P027,合同预审核法务数字员工,G,6,启动立项,,临床,共享服务中心（SSC）,法务部,合同预审核法务数字员工,G3,,A,陈放群,,2026-W25
P028,AI翻译平台,G,3,完成立项,段子琪,临床,临床研究组织（CRO）,PV、RA、MW,普瑞纯正翻译平台,G3,,B,张颖超,,2026-W25
P029,Coding Tool,G,2,,,临床,临床研究组织（CRO）,生物统计部,Coding Tool,G6,,C,陈放群,,2026-W25
P030,联斯达PCU,G,3,,段子琪,临床,共享服务中心（SSC）,QA,联斯达PCU,G6,,B,田剑,,2026-W25
P031,CPM小程序,,,,,临床,现场管理组织（SMO）,现场管理组织,CRC管理系统,,,,田剑,,2026-W25
P032,CS系统,,,,,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,中心信息管理系统/SSU,,,,田剑,,2026-W25
P033,BI系统,G,1,,,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,中心信息管理系统/SSU,G6,,C,田剑,,2026-W25
P034,IVD注册信息荟享平台,G,2,,,临床,临床研究组织（CRO）,医疗器械部,IVD注册信息荟享平台,G6,,C,景孟博,,2026-W25
P035,PDMS-收入确认 v1.0,,,,,临床,现场管理组织（SMO）,现场管理组织,RPM,,,,才诗,,2026-W25
P036,EDC自动化录入,G,8,,,临床,现场管理组织（SMO）,临床协调部,EDC自动化录入,,,D,田剑,,2026-W25
P037,数据跨境传输在线登记,G,3,,,临床,共享服务中心（SSC）,质量保证与培训,QA-数据跨境访问和传输,G6,,B,张颖超,,2026-W25
P038,MDM主数据管理系统,G,2,,,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,主数据中台,,,D,,,2026-W25
P039,CRC智能推荐,G,5,,段子琪,临床,SMO、CRO、总经办、BD、BDS,SMO、CRO、总经办、BD、BDS,主数据中台,,,D,叶澍晟,,2026-W25
P040,CRA入排审核,G,5,,黄敏敏,临床,临床研究组织（CRO）,临床开发部,CRA入排审核,,,D,张颖超,,2026-W25
P041,财务审批自动化,G,3,,,临床,共享服务中心（SSC）,财务部,财务审批自动化,,,D,张颖超,,2026-W25
P042,大模型训练,G,8,,,临床,共享服务中心（SSC）,R2,基础AI平台,G1,,S,,,2026-W25
P043,RPM 临研睿智 v3.9,,,资料准备,,临床,现场管理组织（SMO）,"项目管理部, 临床协调部",RPM,,,,才诗,,2026-W25
P044,QuotePro 报价通 v2.0,,,待立项,,临床,现场管理组织（SMO）,商务拓展部,SMO报价系统,,,,金亥祺,,2026-W25
P045,CPM（二期）,,,待立项,,临床,现场管理组织（SMO）,临床协调部,CRC管理系统,,,,田剑,,2026-W25
P046,中心调研（二期）,,,待立项,,临床,现场管理组织（SMO）,"商务拓展部, 项目管理部, 临床协调部",中心信息管理系统/SSU,,,,田剑,,2026-W25
P047,aCRF自动生成,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase I）,,,,陈放群,,2026-W25
P048,SDTM&ADaM Define,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase I）,,,,陈放群,,2026-W25
P049,SDTM&ADaM Review Guide,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase I）,,,,陈放群,,2026-W25
P050,SDTM SPEC自动生成,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase I）,,,,陈放群,,2026-W25
P051,"ADaM
  SPEC自动生成",,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase II）,,,,陈放群,,2026-W25
P052,SDTM Code自动生成,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase II）,,,,陈放群,,2026-W25
P053,ADaM Code自动生成,,,,,临床,临床研究组织（CRO）,统计编程部,StatProg Agent（Phase II）,,,,陈放群,,2026-W25
P054,项目计划撰写,,,待立项,,临床,临床研究组织（CRO）,临床开发部,项目计划撰写,,,,胡洁,,2026-W25
P055,监查报告撰写与智能审核,,,待立项,,临床,临床研究组织（CRO）,临床开发部,智能化TMF管理/监查报告撰写与智能审核,,,,胡洁,,2026-W25
P056,IND 2.4,G,3,启动立项,,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G0,,B,胡洁,,2026-W25
P057,IND 3.2s、3.2p,G,6,待立项,,临床,临床研究组织（CRO）,注册法规部,CTD智能生成平台,G0,,A,胡洁,,2026-W25
P058,eCTD小工具,,,待立项,,临床,临床研究组织（CRO）,注册法规部,业务Agent-eCTD小工具,,,,胡洁,,2026-W25
P059,NMPA产品查询,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
P060,文献自动下载,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
P061,评价报告撰写（类似IND撰写）,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
P062,评估表生成,,,待立项,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
P063,医学报告半自动化撰写,,,,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
P064,医学报告半自动化撰写,,,,,临床,临床研究组织（CRO）,医疗器械部,ClinAI临研助手,,,,胡洁,,2026-W25
